filename,word_count,long_video,deep_review_priority,novelty_score,coverage_score,rules_hit,rules_list
+$18k Green Day Recap Recap By Ross Cameron.txt,359,False,False,1.0,0.0,0,
5 Winners Out of 5 Trades! Ross's Trade Recap.txt,2659,True,True,0.9975,0.0025,4,SCRN-008_sector_theme|PROF-002_scale_out|TIMING-002_opening_range|TIMING-003_midday_dead
-275K BIGGEST RED DAY EVER Ross Cameron [h53KLB2liR0].txt,8027,True,True,0.9973,0.0027,8,SCRN-001_news_catalyst|SCRN-007_foreign_stocks|ENTR-003_dollar_levels|STOP-003_fifty_pct_daily_stop|STOP-007_position_stop|PROF-001_dont_cap_green|PROF-003_daily_goals|TIMING-001_premarket_watch
-275K BIGGEST RED DAY EVER Ross Cameron.txt,8027,True,True,0.9973,0.0027,8,SCRN-001_news_catalyst|SCRN-007_foreign_stocks|ENTR-003_dollar_levels|STOP-003_fifty_pct_daily_stop|STOP-007_position_stop|PROF-001_dont_cap_green|PROF-003_daily_goals|TIMING-001_premarket_watch
Burn Baby Burn! Finished the Week in The Red.txt,3054,True,True,0.9968,0.0032,4,SCRN-010_front_back_side|ENTR-003_dollar_levels|TIMING-002_opening_range|TIMING-003_midday_dead
Becoming A MORE CONSISTENT Day Trader SLOW AND STEADY Day Trading.txt,8288,True,True,0.9965,0.0035,9,SCRN-004_price_range|ENTR-004_micro_pullback|ENTR-006_bull_flag|STOP-004_thirty_pct_soft_stop|STOP-007_position_stop|PROF-002_scale_out|PROF-004_size_up_hot|PROF-005_cold_market|TIMING-005_session_length
my millionaire students at Warrior Trading.txt,9365,True,True,0.9965,0.0035,7,SCRN-004_price_range|ENTR-003_dollar_levels|STOP-003_fifty_pct_daily_stop|PROF-003_daily_goals|PROF-004_size_up_hot|TIMING-005_session_length|TIMING-006_power_hour
All Green! Ross's Trade Recap.txt,620,False,False,0.9963,0.0037,1,MKTCOND-002_leading_gapper
The Real Struggle of Day Trading Day Trading Recap by Ross Cameron.txt,5433,True,True,0.9962,0.0038,7,SCRN-001_news_catalyst|SCRN-009_short_interest|ENTR-002_fcnh|ENTR-003_dollar_levels|STOP-003_fifty_pct_daily_stop|TIMING-001_premarket_watch|TIMING-003_midday_dead
Day 9 Martha's Vineyard Trading Challenge Day Trading Recap by Ross Cameron.txt,2543,True,True,0.9961,0.0039,3,ENTR-003_dollar_levels|STOP-003_fifty_pct_daily_stop|PROF-004_size_up_hot
My House Caught on Fire.... and I Kept Day Trading Recap by Ross Cameron.txt,1101,False,False,0.9961,0.0039,2,SCRN-007_foreign_stocks|ENTR-004_micro_pullback
"Time is Money! +$9,471.05 in One Hour!.txt",1933,True,True,0.9961,0.0039,4,SCRN-001_news_catalyst|SCRN-006_reverse_splits|TIMING-002_opening_range|TIMING-003_midday_dead
The road to Boston and setting up a mobile Trade Station.txt,2499,True,True,0.996,0.004,3,SCRN-004_price_range|ENTR-002_fcnh|ENTR-003_dollar_levels
Angry and Frustrated -$4.5k Recap by Ross Cameron.txt,2167,True,True,0.9959,0.0041,5,SCRN-003_float|ENTR-004_micro_pullback|STOP-004_thirty_pct_soft_stop|MKTCOND-004_overall_market|TIMING-001_premarket_watch
How am I red on a stock up 100 percent !!.txt,4645,True,True,0.9955,0.0045,8,SCRN-001_news_catalyst|SCRN-003_float|SCRN-008_sector_theme|ENTR-004_micro_pullback|ENTR-007_order_spoofing|MKTCOND-005_seasonal|TIMING-002_opening_range|TIMING-005_session_length
Ouch! A Red Trading Day & This Broker Got Suspended! Ross' Trading Recap.txt,3001,True,True,0.9954,0.0046,6,ENTR-003_dollar_levels|STOP-003_fifty_pct_daily_stop|PROF-003_daily_goals|MKTCOND-002_leading_gapper|MKTCOND-005_seasonal|TIMING-003_midday_dead
Day 2 Small Account +26% on $HMNY and $EVOK.txt,2930,True,True,0.9952,0.0048,5,SCRN-003_float|SCRN-004_price_range|ENTR-009_topping_tails|TIMING-001_premarket_watch|TIMING-003_midday_dead
My Biggest Struggle as a Day Trader Ross's Trade Recap.txt,4914,True,True,0.9952,0.0048,6,SCRN-004_price_range|ENTR-002_fcnh|ENTR-003_dollar_levels|STOP-003_fifty_pct_daily_stop|PROF-004_size_up_hot|MKTCOND-002_leading_gapper
Day Trading in St Martin - Traveling Trader.txt,3524,True,True,0.9951,0.0049,8,SCRN-001_news_catalyst|SCRN-008_sector_theme|SCRN-010_front_back_side|STOP-003_fifty_pct_daily_stop|STOP-004_thirty_pct_soft_stop|MKTCOND-002_leading_gapper|TIMING-003_midday_dead|TIMING-005_session_length
Ross' Trade Recap Oh Yeah! $305 in 25 Minutes!.txt,3344,True,True,0.9951,0.0049,5,SCRN-001_news_catalyst|ENTR-002_fcnh|PROF-005_cold_market|TIMING-002_opening_range|TIMING-003_midday_dead
"BLPH +$2,394 VXX -$1,864 Ross's Trade Recap.txt",5193,True,True,0.9945,0.0055,8,SCRN-004_price_range|ENTR-003_dollar_levels|STOP-003_fifty_pct_daily_stop|PROF-001_dont_cap_green|MKTCOND-004_overall_market|TIMING-001_premarket_watch|TIMING-002_opening_range|TIMING-003_midday_dead
Easy Day Trading Ross' Trade Recap.txt,4631,True,True,0.9945,0.0055,11,ENTR-003_dollar_levels|ENTR-004_micro_pullback|ENTR-007_order_spoofing|STOP-003_fifty_pct_daily_stop|STOP-004_thirty_pct_soft_stop|STOP-007_position_stop|PROF-001_dont_cap_green|MKTCOND-002_leading_gapper|MKTCOND-004_overall_market|TIMING-002_opening_range|TIMING-003_midday_dead
Another Frustrating Red Day -$11k Ross's Trade Recap.txt,7995,True,True,0.9944,0.0056,10,SCRN-001_news_catalyst|ENTR-003_dollar_levels|ENTR-004_micro_pullback|ENTR-008_double_bottom|STOP-003_fifty_pct_daily_stop|STOP-007_position_stop|PROF-001_dont_cap_green|MKTCOND-004_overall_market|TIMING-001_premarket_watch|TIMING-002_opening_range
Luck of The Irish Ross' Trade Recap.txt,3243,True,True,0.9944,0.0056,7,SCRN-002_relative_volume|SCRN-003_float|ENTR-003_dollar_levels|ENTR-009_topping_tails|MKTCOND-004_overall_market|TIMING-002_opening_range|TIMING-003_midday_dead
"The Grind Continues -$1,900 Ross' Trade Recap.txt",3249,True,True,0.9944,0.0056,9,SCRN-001_news_catalyst|SCRN-003_float|SCRN-010_front_back_side|ENTR-003_dollar_levels|STOP-003_fifty_pct_daily_stop|PROF-003_daily_goals|PROF-005_cold_market|MKTCOND-002_leading_gapper|TIMING-003_midday_dead
Bad Trade on Netflix -$16k Ross's Trade Recap.txt,7264,True,True,0.9943,0.0057,14,SCRN-003_float|SCRN-004_price_range|SCRN-009_short_interest|ENTR-003_dollar_levels|ENTR-004_micro_pullback|ENTR-008_double_bottom|ENTR-009_topping_tails|STOP-003_fifty_pct_daily_stop|STOP-007_position_stop|PROF-004_size_up_hot|TIMING-001_premarket_watch|TIMING-002_opening_range|TIMING-003_midday_dead|TIMING-006_power_hour
How long have you been watching on YouTube.txt,7492,True,True,0.9943,0.0057,5,SCRN-002_relative_volume|SCRN-004_price_range|ENTR-004_micro_pullback|PROF-004_size_up_hot|MKTCOND-003_cheap_gappers
Trade Recap Sky's The Limit!.txt,2949,True,True,0.9943,0.0057,5,SCRN-004_price_range|SCRN-010_front_back_side|STOP-003_fifty_pct_daily_stop|TIMING-002_opening_range|TIMING-003_midday_dead
The LAST Mid-Day Recap of 2017 from $583 to $335k.txt,5707,True,True,0.9942,0.0058,6,SCRN-003_float|SCRN-004_price_range|MKTCOND-005_seasonal|TIMING-001_premarket_watch|TIMING-003_midday_dead|TIMING-005_session_length
$ALVR +50% Day Trading Recap By Ross Cameron.txt,5522,True,True,0.9941,0.0059,11,SCRN-004_price_range|ENTR-003_dollar_levels|ENTR-004_micro_pullback|ENTR-008_double_bottom|PROF-004_size_up_hot|MKTCOND-002_leading_gapper|TIMING-001_premarket_watch|TIMING-002_opening_range|TIMING-003_midday_dead|TIMING-005_session_length|TIMING-006_power_hour
Red Day Frustration.txt,4055,True,True,0.9941,0.0059,8,SCRN-001_news_catalyst|SCRN-003_float|SCRN-004_price_range|ENTR-003_dollar_levels|PROF-002_scale_out|MKTCOND-001_cold_hot_framework|TIMING-002_opening_range|TIMING-003_midday_dead
"Red Day, But Still Feeling Positive! Ross' Trade Recap.txt",5726,True,True,0.994,0.006,9,SCRN-001_news_catalyst|SCRN-005_daily_chart_room|ENTR-002_fcnh|ENTR-003_dollar_levels|ENTR-004_micro_pullback|STOP-003_fifty_pct_daily_stop|PROF-001_dont_cap_green|MKTCOND-005_seasonal|TIMING-003_midday_dead
Worst Trading Day So Far.txt,1421,False,False,0.994,0.006,3,SCRN-004_price_range|TIMING-001_premarket_watch|TIMING-003_midday_dead
Donald Trump Launches TRUMP Coin.txt,4171,True,True,0.9939,0.0061,7,SCRN-003_float|SCRN-010_front_back_side|ENTR-001_macd_gate|ENTR-002_fcnh|STOP-003_fifty_pct_daily_stop|TIMING-001_premarket_watch|TIMING-006_power_hour
Recovery Day 3 Recent IPO + Biotech News.txt,2012,True,True,0.9939,0.0061,5,SCRN-001_news_catalyst|SCRN-003_float|SCRN-008_sector_theme|STOP-005_fifty_pct_retrace|TIMING-001_premarket_watch
"Finishing the week +$22,150.96 Happy New Year!.txt",3999,True,True,0.9938,0.0062,9,SCRN-001_news_catalyst|ENTR-003_dollar_levels|STOP-007_position_stop|PROF-001_dont_cap_green|PROF-003_daily_goals|TIMING-001_premarket_watch|TIMING-002_opening_range|TIMING-003_midday_dead|TIMING-005_session_length
7 For 7! Ross's Trade Recap.txt,1365,False,False,0.9937,0.0063,3,SCRN-004_price_range|PROF-005_cold_market|TIMING-002_opening_range
Red Day Recap [h7q5KSu9e_I].txt,1635,True,True,0.9937,0.0063,4,ENTR-004_micro_pullback|STOP-003_fifty_pct_daily_stop|STOP-007_position_stop|TIMING-001_premarket_watch
Choppy Market Trading +$9.4k Recap by Ross Cameron.txt,701,False,False,0.9936,0.0064,2,SCRN-005_daily_chart_room|STOP-004_thirty_pct_soft_stop
+$4k Smaller Green Day (NYSE RHE) (NASDAQ LEDS) (NASDAQ PTIX) Recap by Ross Cameron.txt,776,False,False,0.9935,0.0065,1,PROF-001_dont_cap_green
Another Red Day -$16K Ross' Trade Recap.txt,6215,True,True,0.9935,0.0065,11,SCRN-005_daily_chart_room|ENTR-002_fcnh|STOP-003_fifty_pct_daily_stop|STOP-006_halt_offering|PROF-001_dont_cap_green|PROF-004_size_up_hot|MKTCOND-002_leading_gapper|MKTCOND-005_seasonal|TIMING-001_premarket_watch|TIMING-002_opening_range|TIMING-003_midday_dead
Day Trading in an RV.txt,1812,True,True,0.9935,0.0065,6,ENTR-004_micro_pullback|PROF-003_daily_goals|PROF-005_cold_market|TIMING-001_premarket_watch|TIMING-003_midday_dead|TIMING-005_session_length
Trading Recap $1K in 1 Day!.txt,3631,True,True,0.9935,0.0065,8,SCRN-001_news_catalyst|SCRN-004_price_range|SCRN-006_reverse_splits|ENTR-004_micro_pullback|PROF-001_dont_cap_green|PROF-005_cold_market|TIMING-003_midday_dead|TIMING-005_session_length
Max Loss Red Day [vtUXm5P-x1o].txt,4934,True,True,0.9934,0.0066,6,SCRN-002_relative_volume|ENTR-004_micro_pullback|ENTR-005_vwap|STOP-003_fifty_pct_daily_stop|PROF-003_daily_goals|MKTCOND-005_seasonal
My Biggest Loss in More Than 4 Years....txt,7836,True,True,0.9933,0.0067,14,SCRN-001_news_catalyst|SCRN-008_sector_theme|ENTR-002_fcnh|ENTR-005_vwap|STOP-003_fifty_pct_daily_stop|STOP-007_position_stop|PROF-001_dont_cap_green|PROF-003_daily_goals|PROF-004_size_up_hot|PROF-005_cold_market|MKTCOND-001_cold_hot_framework|MKTCOND-002_leading_gapper|MKTCOND-005_seasonal|TIMING-002_opening_range
RED DAY RECAP [86xzLq-wj_c].txt,5512,True,True,0.9933,0.0067,11,SCRN-001_news_catalyst|SCRN-004_price_range|SCRN-005_daily_chart_room|SCRN-006_reverse_splits|ENTR-004_micro_pullback|STOP-003_fifty_pct_daily_stop|PROF-002_scale_out|PROF-004_size_up_hot|PROF-005_cold_market|MKTCOND-003_cheap_gappers|TIMING-002_opening_range
"+$4,811.02 as I break $80k in profits in January!.txt",1680,True,True,0.9931,0.0069,6,SCRN-004_price_range|SCRN-005_daily_chart_room|ENTR-003_dollar_levels|MKTCOND-001_cold_hot_framework|TIMING-002_opening_range|TIMING-003_midday_dead
+$52k May Month in Review.txt,7400,True,True,0.9931,0.0069,9,SCRN-001_news_catalyst|SCRN-002_relative_volume|STOP-001_macd_hands_off|STOP-006_halt_offering|PROF-002_scale_out|PROF-004_size_up_hot|MKTCOND-004_overall_market|TIMING-003_midday_dead|TIMING-005_session_length
Fear sets into Small Caps as the Market drops 1000 points.txt,4104,True,True,0.9931,0.0069,8,SCRN-002_relative_volume|ENTR-003_dollar_levels|PROF-001_dont_cap_green|PROF-004_size_up_hot|PROF-005_cold_market|MKTCOND-004_overall_market|MKTCOND-005_seasonal|TIMING-003_midday_dead
Red Day Recap -2.8k for the 17th Day of 2018.txt,2559,True,True,0.993,0.007,5,SCRN-004_price_range|ENTR-002_fcnh|ENTR-003_dollar_levels|MKTCOND-004_overall_market|TIMING-003_midday_dead
